Place,Details,Class,WordCount
Farmers Queen Street,"['queen', 'street', 'important', 'commercial', 'street', 'auckland', 'street', 'kilometers', 'long', 'starting', 'auckland', 'waterfront', 'north', 'ending', 'karanga', 'heipi', 'road', 'south', 'main', 'street', 'named', 'queen', 'victoria', 'queen', 'street', 'auckland', 'prime', 'location', 'ca', 'go', 'wrong', 'want', 'shop', 'feel', 'various', 'classical', 'ornate', 'buildings', 'along', 'street', 'buildings', 'sides', 'queen', 'street', 'major', 'attraction', 'edwardian', 'auckland', 'dock', 'building', 'greek', 'bank', 'new', 'zealand', 'building', 'british', 'building', 'patrick', 'cathedral', 'british', 'auckland', 'city', 'hall', 'colonial', 'historical', 'buildings', 'modern', 'buildings', 'complement', 'conflicting', 'harmonious', 'pier', 'stands', 'yellow', 'pier', 'building', 'gift', 'shops', 'wool', 'products', 'stores', 'auckland', 'shopping', 'paradise', 'queen', 'street', 'gift', 'shops', 'wool', 'products', 'stores', 'sides', 'street', 'selling', 'handmade', 'wool', 'robes', 'maori', 'carvings', 'jade', 'jewelry', 'shell', 'jewelry', 'souvenirs', 'bronze', 'statue', 'maori', 'warrior', 'holding', 'wooden', 'club', 'queen', 'street', 'said', 'respect', 'maori', 'auckland', 'place', 'polynesians', 'maori', 'populated', 'world', 'smith', 'caughey', 'department', 'store', 'new', 'zealand', 'oldest', 'beloved', 'department', 'store', 'civic', 'theatre', 'auckland', 'town', 'hall', 'sky', 'tower', 'landmark', 'buildings', 'auckland', 'followed', 'civic', 'theatre', 'intersection', 'queen', 'st', 'wellesley', 'corner', 'street', 'facade', 'large', 'building', 'restored', 'grand', 'magnificent', 'mainly', 'venue', 'opera', 'musicals', 'theatre', 'important', 'venue', 'auckland', 'international', 'film', 'festival', 'auckland', 'city', 'hall', 'far', 'away', 'typical', 'building', 'far', 'queen', 'street', 'iconic', 'sky', 'tower', 'seen', 'queen', 'street', 'far', 'dazzling', 'sight', 'auckland', 'christmas', 'parade', 'feel', 'festive', 'atmosphere', 'biggest', 'festivals', 'queen', 'street', 'annual', 'christmas', 'parade', 'event', 'usually', 'held', 'late', 'november', 'early', 'december', 'visitors', 'try', 'arrive', 'sides', 'queen', 'street', 'several', 'hours', 'advance', 'occupy', 'position', 'good', 'view', 'christmas', 'parade', 'fully', 'demonstrated', 'tolerant', 'multicultural', 'society', 'new', 'zealand', 'typical', 'english', 'bands', 'well', 'chinese', 'dragon', 'dance', 'lion', 'dance', 'waist', 'drum', 'teams', 'major', 'companies', 'displayed', 'floats', 'lively']",None Related,444
Fes Médina,"['medina', 'fes', 'old', 'city', 'fes', 'establishment', 'traced', 'back', 'end', 'century', 'idris', 'dynasty', 'established', 'capital', 'ad', 'city', 'rapid', 'development', 'hadid', 'dynasty', 'medina', 'fes', 'grown', 'size', 'today', 'far', 'fes', 'medina', 'still', 'retains', 'relatively', 'complete', 'city', 'wall', 'old', 'city', 'large', 'largest', 'medina', 'morocco', 'nearly', 'alleys', 'old', 'city', 'narrow', 'winding', 'like', 'labyrinth', 'known', 'city', 'without', 'cars', 'world', 'donkeys', 'important', 'means', 'transportation', 'old', 'city', 'important', 'tourist', 'destination', 'fes', 'leather', 'dyeing', 'workshop', 'blue', 'gate', 'boujlou', 'university', 'carouin', 'distributed', 'alleys']",None Related,152
Fetch Robotics,"['fetch', 'robotics', 'pioneer', 'automation', 'autonomous', 'mobile', 'robots', 'part', 'zebra', 'technologies', 'fetchcore', 'cloud', 'robotics', 'platform', 'provides', 'autonomous', 'mobile', 'robot', 'amr', 'solution', 'deploys', 'hours', 'versus', 'days', 'weeks', 'addresses', 'multiple', 'material', 'handling', 'data', 'common', 'unified', 'platform']",Robotic,53
Fira,"['fira', 'known', 'thira', 'small', 'town', 'edge', 'volcano', 'west', 'santorini', 'spectacular', 'view', 'walls', 'town', 'houses', 'white', 'roofs', 'dark', 'blue', 'harmony', 'sky', 'sea', 'ocean', 'mixed', 'postcard', 'single', 'shot', 'fira', 'traditional', 'residential', 'place', 'prosperous', 'town', 'convenient', 'taxis', 'hotels', 'direct', 'buses', 'oia', 'town', 'black', 'sand', 'beach', 'red', 'sand', 'beach', 'said', 'bus', 'transfer', 'station', 'holy', 'island', 'every', 'peak', 'season', 'july', 'august', 'september', 'basically', 'crowded', 'tourists', 'newly', 'married', 'couples', 'come', 'honeymoon', 'leisure', 'time', 'morning', 'town', 'overlook', 'aegean', 'sea', 'overlook', 'volcanic', 'island', 'opposite', 'side', 'blow', 'sea', 'breeze', 'sunbathe', 'walk', 'around', 'trails', 'photos', 'evening', 'sit', 'restaurant', 'near', 'cliff', 'enjoy', 'delicious', 'food', 'watching', 'sunset', 'night', 'even', 'brighter', 'go', 'bar', 'listen', 'music', 'relax', 'glass', 'wine']",None Related,219
Flatirons Solutions,"['flatirons', 'solutions', 'works', 'airlines', 'aviation', 'manufacturers', 'mro', 'workers', 'solve', 'complex', 'information', 'management', 'issues', 'turn', 'data', 'actionable', 'information', 'company', 'managed', 'content', 'fleet', 'management', 'manufacturing', 'management', 'platforms', 'help', 'organize', 'information', 'needed', 'operations', 'publishing', 'technical', 'information', 'working', 'alongside', 'existing', 'teams', 'provide', 'support', 'areas', 'needed']",Aerospace,58
Floralis Genérica,"['argentine', 'steel', 'flower', 'symbol', 'representative', 'hundred', 'flowers', 'spanish', 'written', 'floralisgenerico', 'flowers', 'meters', 'high', 'flower', 'diameter', 'meters', 'closed', 'meters', 'open', 'flowers', 'consist', 'large', 'petals', 'weigh', 'tons', 'total', 'base', 'flower', 'pool', 'diameter', 'meters', 'steel', 'flower', 'garden', 'united', 'nations', 'square', 'recoleta', 'district', 'first', 'district', 'argentina', 'adjacent', 'law', 'school', 'university', 'buenos', 'aires', 'flower', 'mainly', 'cast', 'stainless', 'steel', 'aluminum', 'opens', 'closes', 'morning', 'evening', 'manual', 'electric', 'control', 'flowers', 'open', 'dawn', 'every', 'day', 'year', 'except', 'storms', 'close', 'dusk', 'however', 'days', 'flowers', 'bloom', 'national', 'day', 'may', 'spring', 'festival', 'september', 'christmas', 'eve', 'december', 'new', 'year', 'december']",None Related,171
Fondation Monet in Giverny,"['monet', 'garden', 'former', 'residence', 'french', 'impressionist', 'painter', 'claude', 'monet', 'small', 'town', 'giverny', 'kilometers', 'west', 'paris', 'former', 'residence', 'divided', 'monet', 'residence', 'monet', 'garden', 'divided', 'garden', 'water', 'garden', 'garden', 'called', 'normandy', 'garden', 'front', 'house', 'rectangular', 'shape', 'covering', 'area', 'hectare', 'water', 'garden', 'artificial', 'lake', 'filled', 'water', 'lilies', 'monet', 'completed', 'water', 'lilies', 'series', 'japanese', 'bridge', 'series', 'monet', 'attracted', 'beautiful', 'scenery', 'passed', 'train', 'moved', 'live', 'spent', 'years', 'writing', 'countless', 'books', 'half', 'life', 'monet', 'called', 'garden', 'beautiful', 'work', 'today', 'monet', 'garden', 'still', 'maintained', 'way', 'monet', 'lived', 'days', 'tulips', 'garden', 'opened', 'end', 'march', 'water', 'lilies', 'midsummer', 'chrysanthemums', 'closing', 'museum', 'end', 'october', 'find', 'kinds', 'monet', 'paintings', 'color']",None Related,192
Fontainebleau Palace,"['palace', 'fontainebleau', 'known', 'epitome', 'french', 'history', 'included', 'world', 'heritage', 'list', 'originally', 'royal', 'hunting', 'palace', 'expanded', 'important', 'palace', 'french', 'renaissance', 'later', 'architects', 'artists', 'participated', 'reconstruction', 'left', 'imprint', 'styles', 'various', 'periods', 'location', 'fontainebleau', 'small', 'town', 'kilometers', 'southeast', 'paris', 'favorite', 'weekend', 'excursions', 'parisians', 'palace', 'fontainebleau', 'surrounded', 'forests', 'fontainebleau', 'forest', 'surrounding', 'palace', 'originally', 'royal', 'hunting', 'ground', 'become', 'outdoor', 'sports', 'base', 'bouldering', 'enthusiasts', 'bouldering', 'season', 'october', 'attracts', 'rock', 'climbers', 'world', 'main', 'building', 'palace', 'fontainebleau', 'includes', 'main', 'tower', 'six', 'palaces', 'five', 'courtyards', 'four', 'gardens', 'main', 'attractions', 'palace', 'ballroom', 'conference', 'hall', 'chapel', 'throne', 'hall', 'diana', 'fresco', 'promenade', 'françois', 'promenade', 'queen', 'bedroom', 'napoleon', 'living', 'room', 'pope', 'apartment', 'napoleon', 'loves', 'yellow', 'wife', 'josephine', 'prefers', 'roses', 'overall', 'colors', 'interior', 'decoration', 'mainly', 'yellow', 'rose', 'red', 'four', 'museums', 'palace', 'namely', 'china', 'pavilion', 'napoleon', 'pavilion', 'gallery', 'home', 'pavilion', 'among', 'chinese', 'pavilion', 'large', 'collection', 'precious', 'cultural', 'relics', 'yuanmingyuan', 'displays', 'thousands', 'art', 'treasures', 'ancient', 'paintings', 'gold', 'jade', 'jewelry', 'sculptures', 'china', 'ming', 'qing', 'dynasties', 'sometimes', 'open', 'visit', 'among', 'western', 'museums', 'palace', 'fontainebleau', 'collection', 'exhibition', 'yuanmingyuan', 'treasures', 'white', 'horse', 'court', 'white', 'horse', 'court', 'main', 'entrance', 'fontainebleau', 'steps', 'scene', 'palace', 'fontainebleau', 'napoleon', 'gave', 'speech', 'abdicated', 'china', 'pavilion', 'entering', 'building', 'right', 'side', 'courtyard', 'ticket', 'office', 'forget', 'lead', 'audio', 'guide', 'purchasing', 'ticket', 'walk', 'along', 'promenade', 'start', 'visit', 'palace', 'fontainebleau', 'stairs', 'near', 'end', 'rush', 'upstairs', 'keep', 'going', 'china', 'pavilion', 'ca', 'find', 'location', 'china', 'pavilion', 'ask', 'staff', 'door', 'china', 'pavilion', 'generally', 'closed', 'needs', 'closed', 'entering', 'golden', 'pagoda', 'meters', 'high', 'prominent', 'position', 'museum', 'whole', 'body', 'inlaid', 'emeralds', 'every', 'floor', 'basically', 'similar', 'existing', 'golden', 'pagoda', 'forbidden', 'city', 'beijing', 'two', 'precious', 'gilt', 'bells', 'various', 'yuanmingyuan', 'treasures', 'except', 'weekends', 'holidays', 'china', 'pavilion', 'closed', 'earlier', 'visit', 'morning', 'march', 'exhibits', 'stolen', 'palace', 'fontainebleau', 'including', 'cloisonné', 'unicorn', 'golden', 'manza', 'old', 'collection', 'yuanmingyuan', 'treasures', 'go', 'upstairs', 'china', 'pavilion', 'continue', 'enjoy', 'napoleon', 'pavilion', 'throne', 'hall', 'napoleon', 'throne', 'small', 'rooms', 'françois', 'promenade', 'lower', 'half', 'made', 'golden', 'yellow', 'fine', 'wood', 'carvings', 'meters', 'high', 'retaining', 'wall', 'exquisite', 'murals', 'entire', 'promenade', 'brilliant', 'elegant', 'visiting', 'main', 'exhibition', 'halls', 'go', 'first', 'floor', 'exit', 'souvenir', 'shop', 'go', 'browse', 'courtyard', 'garden', 'fact', 'go', 'back', 'china', 'pavilion', 'short', 'walk', 'exit', 'hint', 'enter', 'courtyard', 'addition', 'indoor', 'landscape', 'courtyard', 'palace', 'fontainebleau', 'characteristic', 'decorative', 'style', 'combination', 'thin', 'wood', 'retaining', 'walls', 'plaster', 'reliefs', 'murals', 'unique', 'diana', 'garden', 'flower', 'beds', 'sculptures', 'well', 'small', 'exquisite', 'fountains', 'roam', 'freely', 'large', 'park', 'green', 'forest', 'tea', 'room', 'scenic', 'area', 'fontainebleau', 'palace', 'restaurants', 'town', 'moderate', 'prices']",None Related,722
Formant ,"['formant', 'provides', 'ease', 'use', 'remote', 'control', 'analytics', 'robot', 'management', 'platform', 'enables', 'organizations', 'monitor', 'robot', 'fleets', 'look', 'deeply', 'operations', 'remote', 'control', 'individual', 'robots', 'needed']",Robotic,38
Fourvière,"['fourvière', 'symbol', 'lyon', 'cradle', 'lyon', 'birthplace', 'christianity', 'lyon', 'tourists', 'walk', 'cable', 'car', 'mountain', 'top', 'mountain', 'commanding', 'height', 'lyon', 'overlook', 'whole', 'city', 'lyon', 'good', 'place', 'enjoy', 'night', 'view', 'catholic', 'church', 'lady', 'fourviere', 'hill', 'century', 'baroque', 'style', 'south', 'side', 'roman', 'arena', 'roman', 'gallic', 'museum']",None Related,94
Fox Glacier,"['world', 'glaciers', 'melting', 'fox', 'glacier', 'proximity', 'sea', 'level', 'remains', 'unaffected', 'local', 'low', 'altitude', 'warm', 'humid', 'climate', 'provide', 'convenient', 'environment', 'excursions', 'making', 'favored', 'glacial', 'landscape', 'world', 'visitors', 'easily', 'walk', 'foot', 'glacier', 'cross', 'river', 'valley', 'sides', 'admire', 'beauty', 'glacier', 'formed', 'thousands', 'years', 'melting', 'freezing', 'approach', 'foot', 'glacier', 'majestic', 'beauty', 'sure', 'blow', 'mind']",None Related,91
Franka Emika,"['franka', 'emika', 'industrial', 'robots', 'provide', 'automation', 'solutions', 'production', 'manufacturing', 'seven', 'axes', 'sensors', 'company', 'new', 'industrial', 'robot', 'franka', 'production', 'provides', 'human', 'dexterity', 'assembly', 'operations', 'workers', 'learn', 'operate', 'robot', 'coding', 'knowledge', 'making', 'franka', 'production']",Robotic,53
Freenome,"['freenome', 'using', 'advanced', 'computer', 'learning', 'enable', 'earlier', 'effective', 'treatment', 'millions', 'patients', 'company', 'developing', 'computational', 'methods', 'create', 'effective', 'tools', 'screening', 'diagnosis', 'treatment', 'cancer', 'order', 'reinvent', 'disease', 'management', 'early', 'detection', 'intervention']",Biotechnology,44
Fuji-Q Highland,"['check', 'thrilling', 'roller', 'coasters', 'check', 'labyrinth', 'fear', 'rides', 'rides', 'enjoy', 'roller', 'coasters', 'iconic', 'mount', 'fuji', 'background', 'highland', 'japan', 'popular', 'amusement', 'parks', 'fuji', 'five', 'lake', 'region', 'foot', 'mount', 'fuji', 'best', 'known', 'thrilling', 'roller', 'coasters', 'elaborate', 'themed', 'rides', 'attractions', 'park', 'strives', 'forefront', 'theme', 'park', 'entertainment', 'constantly', 'opening', 'new', 'rides', 'attractions', 'including', 'guinness', 'world', 'record', 'breaking', 'roller', 'coasters', 'enjoy', 'view', 'mt', 'fuji', 'fall', 'roller', 'coasters', 'large', 'ferris', 'wheel', 'height', 'enjoy', 'feeling', 'floating', 'feet', 'away', 'earth', 'refreshing', 'feeling', 'turning', 'wind', 'fantastic', 'scenery', 'swaying', 'group']",None Related,153
Fushimi Inari Taisha,"['fushimi', 'inari', 'taisha', 'oldest', 'shrines', 'kyoto', 'come', 'worship', 'inari', 'okami', 'god', 'harvest', 'commercial', 'success', 'torii', 'leading', 'main', 'shrine', 'famous', 'landscape', 'shrine', 'long', 'endless', 'pathway', 'arranged', 'foot', 'mountain', 'mountain', 'representative', 'landscapes', 'kyoto', 'appeared', 'movie', 'memoirs', 'geisha', 'fox', 'regarded', 'messenger', 'inari', 'okami', 'shaped', 'emas', 'major', 'feature']",None Related,93
Futronics Corporation,"['building', 'ai', 'service', 'robots', 'healthcare', 'industry', 'managed', 'platform', 'company', 'believes', 'digital', 'ecosystem', 'elevate', 'efficiency', 'user', 'experiences', 'patients', 'receiving', 'care', 'robots', 'perform', 'tasks', 'like', 'meal', 'deliveries', 'walk', 'training', 'personal', 'transportation', 'company', 'automated', 'software', 'works', 'command', 'system', 'assigns', 'tasks', 'monitors', 'courses', 'reports', 'data', 'utilization', 'robot']",Robotic,69
GE,"['manufacturing', 'united', 'states', 'first', 'jet', 'plane', 'engine', 'creating', 'aviation', 'healthcare', 'energy', 'industry', 'technologies', 'years', 'company', 'others', 'entered', 'contract', 'hybrid', 'electric', 'engine', 'cores', 'aircrafts', 'part', 'nasa', 'electric', 'powertrain', 'flight', 'demonstration', 'project', 'electric', 'propulsion', 'technologies', 'showing', 'good', 'signs', 'may', 'allow', 'future', 'aircrafts', 'save', 'fuel', 'optimize', 'engine', 'performance']",Aerospace,71
GNS Healthcare,"['gns', 'healthcare', 'biosimulation', 'company', 'based', 'somerville', 'company', 'called', 'gene', 'network', 'sciences', 'gns', 'founded', 'cornell', 'physicists', 'colin', 'hill', 'iya', 'khalil', 'focused', 'computational', 'biology', 'models', 'interactions', 'among', 'genes', 'proteins', 'cells', 'focus', 'cancer', 'drug', 'discovery']",Biotechnology,51
Gardens of Versailles,"['garden', 'versailles', 'part', 'royal', 'territory', 'versailles', 'west', 'palace', 'versailles', 'covers', 'area', 'hectares', 'classic', 'french', 'garden', 'lawns', 'flower', 'beds', 'sculpture', 'fountains', 'surrounded', 'woodland', 'well', 'urban', 'area', 'versailles']",None Related,56
Garuda Wisnu Kencana Cultural Park,"['condor', 'plaza', 'cultural', 'park', 'uluwatu', 'higher', 'point', 'southern', 'bali', 'near', 'jimbaran', 'beach', 'prototype', 'square', 'left', 'suharto', 'era', 'completed', 'reason', 'called', 'condor', 'plaza', 'bronze', 'statue', 'tallest', 'condor', 'world', 'originally', 'erected', 'overlook', 'beautiful', 'scenery', 'southern', 'bali', 'origin', 'condor', 'plaza', 'indonesian', 'government', 'started', 'construction', 'condor', 'plaza', 'plans', 'build', 'statue', 'hindu', 'god', 'destruction', 'mount', 'condor', 'mountain', 'overall', 'height', 'reach', 'meters', 'said', 'eminent', 'monk', 'instructed', 'suharto', 'bronze', 'statue', 'cast', 'bless', 'prosperity', 'indonesian', 'nation', 'happiness', 'safety', 'suharto', 'stepped', 'square', 'completed', 'hugely', 'expensive', 'project', 'put', 'upper', 'body', 'hands', 'head', 'condor', 'scattered', 'different', 'parts', 'square', 'despite', 'statue', 'condor', 'plaza', 'unfinished', 'project', 'condor', 'plaza', 'still', 'worth', 'seeing', 'jimbaran', 'south', 'along', 'jluluwatu', 'street', 'come', 'hill', 'condor', 'plaza', 'entering', 'door', 'walking', 'stairs', 'snake', 'wearing', 'laurel', 'crown', 'slender', 'body', 'coiled', 'side', 'hill', 'meters', 'high', 'come', 'top', 'mountain', 'huge', 'bronze', 'statue', 'destruction', 'god', 'vishnu', 'although', 'head', 'chest', 'completed', 'lifelike', 'facial', 'expressions', 'still', 'vivid', 'deterrent', 'arm', 'god', 'destruction', 'placed', 'beside', 'small', 'road', 'middle', 'mountain', 'look', 'going', 'inside', 'head', 'statue', 'giant', 'condor', 'overlooking', 'flat', 'square', 'front', 'square', 'dug', 'mountain', 'large', 'excavator', 'tall', 'neat', 'stone', 'walls', 'around', 'square', 'originally', 'intended', 'carved', 'hindu', 'inscriptions', 'stories', 'mythical', 'figures']",None Related,368
